>>>>>>>>>>>>>>>> File Header >>>>>>>>>>>>>>>>
Device             : vivo (I2405)
Android            : 16
Android SDK        : 36
App Name           : RIDE Scan 2.0
App Version        : 2.3.0 (196)
Domain             : DMS
Latlong            : 12.7405627,77.786324
Dealer Name        : peethala.rajiv
Dealer Code        : 1234
Session ID         : 50280803042026123356
Firmware Version   : 1.07
<<<<<<<<<<<<<<<< File Header <<<<<<<<<<<<<<<< 
2026-04-03 12:33:56.339 I/: [CONNECTIVITY_TYPE]: --> bluetooth
2026-04-03 12:34:25.305 I/: TX: --> 33F1 -> 0902
2026-04-03 12:34:28.578 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:28.578 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:28.578 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:28.578 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:28.579 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:28.579 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:28.579 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:32.325 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:36.149 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:39.963 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:43.277 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:46.581 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:50.230 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:53.749 I/: TX: --> 33F1 -> 3E
2026-04-03 12:34:57.308 I/: TX: --> 33F1 -> 3E
2026-04-03 12:35:00.961 I/: TX: --> 33F1 -> 3E
2026-04-03 12:35:04.524 I/: TX: --> 33F1 -> 3E
2026-04-03 12:35:05.515 I/: SKU: --> P71904307D
2026-04-03 12:35:06.081 I/: Vehicle Name: --> TVS XL 100
2026-04-03 12:35:08.077 I/: TX: --> 33F1 -> 3E
2026-04-03 12:35:12.831 I/: TX: --> 7E0 -> 1001
2026-04-03 12:35:12.949 I/: RX: --> 7E8 -> 500103E807D0
2026-04-03 12:35:12.950 I/: TX: --> 7E0 -> 3E00
2026-04-03 12:35:13.003 I/: RX: --> 7E8 -> 7E00
2026-04-03 12:35:13.005 I/: TX: --> 7E0 -> 1902FF
2026-04-03 12:35:13.148 I/: RX: --> 7E8 -> 5902FF0054005001100050013100500132005001330050013900500140005001710050017200500301005003160050042000500519005011060040123500402232004022710050C00900502195005021960050
2026-04-03 12:35:13.150 I/: TX: --> 7E0 -> 220106
2026-04-03 12:35:14.232 I/: RX: --> 7E8 -> 6201067F
2026-04-03 12:35:14.434 I/: TX: --> 7E0 -> 220111
2026-04-03 12:35:14.530 I/: RX: --> 7E8 -> 62011100
2026-04-03 12:35:14.532 I/: TX: --> 7E0 -> 22010A
2026-04-03 12:35:14.581 I/: RX: --> 7E8 -> 62010A00
2026-04-03 12:35:14.582 I/: TX: --> 7E0 -> 220114
2026-04-03 12:35:14.664 I/: RX: --> 7E8 -> 620114DF02
2026-04-03 12:35:14.666 I/: TX: --> 7E0 -> 220103
2026-04-03 12:35:14.745 I/: RX: --> 7E8 -> 620103D60B
2026-04-03 12:35:14.747 I/: TX: --> 7E0 -> 220106
2026-04-03 12:35:14.815 I/: RX: --> 7E8 -> 6201067F
2026-04-03 12:35:14.817 I/: TX: --> 7E0 -> 220108
2026-04-03 12:35:14.878 I/: RX: --> 7E8 -> 6201080000
2026-04-03 12:35:14.880 I/: TX: --> 7E0 -> 22010B
2026-04-03 12:35:14.945 I/: RX: --> 7E8 -> 62010B1A
2026-04-03 12:35:14.947 I/: TX: --> 7E0 -> 220101
2026-04-03 12:35:14.992 I/: RX: --> 7E8 -> 6201010000
2026-04-03 12:35:14.995 I/: TX: --> 7E0 -> 220111
2026-04-03 12:35:15.056 I/: RX: --> 7E8 -> 62011100
